"year_of_interest","perc_price_diff","perc_payroll_diff","perc_GDP_diff"
2006,,,
2007,6.761548207418411,6.877854271581,5.570338859209456
2008,6.187122060858163,7.694155613007,2.6864119509280027
2009,-6.414005227557517,3.072269797148,-4.657331091717609
2010,1.9444418784003714,1.912964466097,2.434902159045027
2011,3.349725585225194,2.334058152470,1.7603596244535114
2012,6.730809491510259,2.931143722342,-0.7850042990035999
2013,5.0982979139493345,-1.555903980513,-0.045903673551916935
2014,0.737494508973846,2.573944692083,2.2621028970795765
2015,-0.5511911636791211,2.596756580119,5.388380838153761
2016,-1.1909172103735655,3.637878262443,2.537284520315408
2017,9.627504671224173,6.167551092417,5.168724304128869
2018,2.165296046840015,7.697321259585,3.1986561013157333
